experiment,key,status,inputs_hash,restarted,wall_seconds,hostname,git_commit,barrier_kcal,category,charge,dataset_ts_energy_ev,dataset_ts_max_force,dataset_ts_n_imaginary,dataset_ts_omega,equation,exclusion_reason,irc_connects,n_integer_disagreements,natoms,p_energy_ev,p_max_force,p_relax_steps,p_relaxed,p_species,r_energy_ev,r_max_force,r_relax_steps,r_relaxed,r_species,reaction,reaction_energy_kcal,reverse_barrier_kcal,spin,spin_changes,ts_energy_ev,ts_max_force,ts_n_imaginary,ts_omega_imaginary,ts_refine_converged,ts_refine_gradient_calls,ts_refine_steps,ts_shift_rmsd_all,ts_shift_rmsd_heavy,verified,irc_forward_converged,irc_reverse_converged,excluded,barrier_error_kcal,bond_max_all_pairs,bond_max_ref_pairs,bond_rms_all_pairs,cphf_solves,drive_calls,drive_converged,drive_outcome,drive_steps,drive_target_error,energy_ev,energy_gap_kcal,highest_tier,idpp_rmsd_heavy,midpoint_rmsd_heavy,mode_overlap_bonds,mode_overlap_reference,n_imaginary,omega_imaginary,pes_residual_ev_ang,refine_converged,refine_displacement_rmsd,refine_gradient_calls,refine_steps,refined_n_imaginary,rmsd_all,rmsd_heavy,rung,tier_T0,tier_T1,tier_T2,tier_T3,tier_T4,count_calculate_calls,n_targets,rung_information,enumeration_truncated,n_correct,n_moves_enumerated,n_saddles,precision,recall,true_ts_rank_by_barrier,label,method,n_runs,total_pes_calls,mode,reference_mayer_deviation_from_half,reference_mayer_mean_fraction,tau,tier_label,endpoint_correct,expected_species,final_species,min_rmsd_to_ts,n_frames,overshoot_kcal,path_converged,path_outcome,peak_kcal,pes_calls,profile_scf_failures,reference_irc_frames,bond_thresh,n_edges,n_edges_with_product,n_nodes,n_verified,recall_denominator,recall_discovered,recall_verified,sector,seed,knob,value,basis,direct_cphf_solves,direct_seconds_median,discarded_gradient_fraction,energy_gradient_seconds,energy_only_seconds,formula,nbasis,speedup_direct_over_zvector,system,zvector_cphf_solves,zvector_seconds_median,zvector_vs_direct_max_abs,count_repeats
04_ts_baselines,rxn_01-B1r,ok,1c9695f6a9dd9173,False,74.77877374994569,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2,,,,,,,,,,,,,,,,Dimer (random direction),B1r,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_ts_baselines,rxn_01-B2,ok,5516c5de747dba17,False,34.442337041022256,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2,,,,,,,,,,,,,,,,Sella from reactant,B2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_ts_baselines,rxn_01-B3,ok,707de35d91e61790,False,35.09623008291237,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,False,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,1224.4051314477792,,,,,,,,,,,,-1,,,,,2,,,,,,,,,0.2336732635870544,L0,False,False,True,False,False,,,,,,,,,,,CI-NEB peak image,B3,1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_ts_baselines,rxn_01-B4,ok,525a56693bb43860,False,32.44509429088794,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,False,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,3608.173515422716,,,,,,,,,,,,2,,,,,2,,,,,,,,,0.23752059067579231,L1,True,True,True,False,False,,,,,,,,,,,Bond space L1 (hybrid),B4,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_target_sharpness,rxn_03-asymmetric-0.30,ok,4fe6a7e2ea3b0dde,False,4.744588666828349,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,,,,flat_gradient_stall,0,0.697532208329363,-2063.1214927171213,644.2913465674415,1,,,0.058829022264980775,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,,,,,,,,,,,,,,asymmetric,-0.07065009,0.42934991,0.3,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_target_sharpness,rxn_03-symmetric-0.30,ok,316ea22182b65f32,False,5.5678771659731865,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,,,,flat_gradient_stall,0,0.29753220832936306,-2063.1214927171213,644.2913465674415,1,,,0.058829022264980775,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,,,,,,,,,,,,,,symmetric,-0.07065009,0.42934991,0.3,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06_path_vs_irc,rxn_01-bondspace,ok,c23501d059e6e67b,False,12.26903095911257,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bondspace,,,,,,,,True,H + O2,H + O2,0.09604220441017605,12,3494.9339867673975,True,converged,3369.50392212674,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
06_path_vs_irc,rxn_01-linear,ok,88ce7bd041ee0ca4,False,2.0983560828026384,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linear,,,,,,,,True,H + O2,H + O2,0.003983826492634505,5,1456.1539643145002,True,interpolated,1330.7238996738424,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
07_network_discovery,h2_o2,ok,350b75f5613896a8,False,250.25327229197137,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,1,2,0,4,1,0,h2_o2,H2 + O2,,,,,,,,,,,,,,,,
08_ablations,rxn_03-fmax-0.01,ok,0a0076757b0c86af,False,25.15956079098396,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,686.1908656999598,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,679.4878092027051,0.4288841932570334,0.4288841932570334,0.2486382337792774,31,31,False,step_limit,30,0.4734585988567775,-2061.5952296544724,679.4878092027051,1,,,0.080382393759429,0.10471494344605253,2,-828.2112607112108,6.772262140494465,,,,,,0.43538419471892026,0.43538419471892026,,True,True,False,False,False,,2,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,fmax,0.01,,,,,,,,,,,,,,
08_ablations,rxn_03-fmax-0.05,ok,ae9410da3b06d4d7,False,3.5872835000045598,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,1,1,True,flat_gradient_stall,0,0.49753220832936307,-2063.1214927171213,644.2913465674415,1,,,0.058829022264980775,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,2,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,fmax,0.05,,,,,,,,,,,,,,
08_ablations,rxn_03-full_connectivity-True,ok,3cd4ef731e3b62b7,False,3.389201084151864,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,1,1,True,flat_gradient_stall,0,0.49753220832936307,-2063.1214927171213,644.2913465674415,1,,,0.05090676040519695,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,3,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,full_connectivity,True,,,,,,,,,,,,,,
08_ablations,rxn_03-optimizer-BFGS,ok,3ab69186c35124cf,False,3.5440889168530703,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,1,1,True,flat_gradient_stall,0,0.49753220832936307,-2063.1214927171213,644.2913465674415,1,,,0.058829022264980775,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,2,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,optimizer,BFGS,,,,,,,,,,,,,,
08_ablations,rxn_03-ovlp_thresh-0.0,ok,2567ef0817a26151,False,3.7885724999941885,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,1,1,True,flat_gradient_stall,0,0.49753220832936307,-2063.1214927171213,644.2913465674415,1,,,0.058829022264980775,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,2,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,ovlp_thresh,0.0,,,,,,,,,,,,,,
08_ablations,rxn_03-perturb-0.05-0,ok,8e457c073f5eb6bd,False,3.9551329580135643,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.369399665325,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,643.6663431680703,0.45438473541984314,0.45438473541984314,0.26521962316589787,1,1,True,flat_gradient_stall,0,0.49783559774341507,-2063.14859542947,643.6663431680704,1,,,,,0,nan,2.057121765056575,,,,,,0.5898826929934643,0.5898826929934643,,True,True,False,False,False,,2,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,0,perturb,0.05,,,,,,,,,,,,,,
08_ablations,rxn_03-reference,ok,72b3d66d549fb990,False,3.906388958916068,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,650.994403064696,hydrogen,,,,,,,,,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,644.2913465674413,0.4539815140558753,0.4539815140558753,0.264351371938631,1,1,True,flat_gradient_stall,0,0.49753220832936307,-2063.1214927171213,644.2913465674415,1,,,0.058829022264980775,0.04286532645120842,1,-880.1930089131782,2.882784809216271,,,,,,0.5426061103801303,0.5426061103801303,,True,True,False,True,False,,2,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,reference,,,,,,,,,,,,,,,
09_scaling,H2O-1-cc-pvdz,ok,99a224ad7d2eacca,False,3.3314884579740465,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc-pvdz,9,1.4981356249190867,0.2908562418704746,0.43479025014676154,0.3083287919871509,H2O,24,1.5221542677129292,H2O-1,1,0.984220625134185,2.222535227689934e-06,1
